"state","county","abortion","inflation","unemployment","wage"
"South Carolina","Abbeville County",2,2,,
"South Carolina","Aiken County",30,37,1,1
"South Carolina","Anderson County",16,23,1,
"South Carolina","Beaufort County",25,71,4,1
"South Carolina","Berkeley County",3,4,2,
"South Carolina","Charleston County",206,380,14,10
"South Carolina","Cherokee County",5,6,,
"South Carolina","Chesterfield County",8,,,
"South Carolina","Clarendon County",,2,1,
"South Carolina","Darlington County",3,3,,
"South Carolina","Dillon County",1,,,
"South Carolina","Dorchester County",14,23,1,1
"South Carolina","Florence County",6,23,,
"South Carolina","Georgetown County",2,2,,1
"South Carolina","Greenville County",84,173,5,4
"South Carolina","Greenwood County",4,3,,1
"South Carolina","Hampton County",1,3,,
"South Carolina","Horry County",118,253,16,7
"South Carolina","Jasper County",,3,2,
"South Carolina","Kershaw County",2,4,,
"South Carolina","Lancaster County",6,3,,
"South Carolina","Laurens County",3,7,,
"South Carolina","Lexington County",45,50,5,2
"South Carolina","Marlboro County",1,,,
"South Carolina","Newberry County",,4,,2
"South Carolina","Oconee County",5,8,,1
"South Carolina","Orangeburg County",,5,,
"South Carolina","Pickens County",10,29,4,3
"South Carolina","Richland County",118,115,9,8
"South Carolina","Spartanburg County",16,60,,2
"South Carolina","Sumter County",5,6,,1
"South Carolina","Union County",1,,,
"South Carolina","York County",28,46,4,3
"Louisiana","Acadia Parish",,2,,
"Louisiana","Ascension Parish",3,6,1,
"Louisiana","Beauregard Parish",1,1,,1
"Louisiana","Bossier Parish",2,21,1,2
"Louisiana","Caddo Parish",14,22,3,
"Louisiana","Calcasieu Parish",10,24,5,
"Louisiana","Concordia Parish",,2,1,
"Louisiana","East Baton Rouge Parish",68,160,6,5
"Louisiana","Evangeline Parish",1,,,
"Louisiana","Iberia Parish",2,33,,
"Louisiana","Jefferson Parish",9,17,2,2
"Louisiana","Lafayette Parish",93,101,4,10
"Louisiana","Lincoln Parish",5,2,,
"Louisiana","Livingston Parish",5,8,,2
"Louisiana","Orleans Parish",183,257,33,19
"Louisiana","Ouachita Parish",8,26,2,2
"Louisiana","Rapides Parish",6,13,,
"Louisiana","Red River Parish",1,,,
"Louisiana","St. Landry Parish",3,1,,
"Louisiana","St. Martin Parish",,2,1,
"Louisiana","St. Mary Parish",3,13,,
"Louisiana","St. Tammany Parish",21,66,2,2
"Louisiana","Tangipahoa Parish",9,13,,
"Louisiana","Terrebonne Parish",3,6,,1
"Louisiana","Vermilion Parish",1,3,,
"Louisiana","Vernon Parish",4,13,,
"Louisiana","Washington Parish",,5,,
"Louisiana","West Baton Rouge Parish",2,,,
"Louisiana","Winn Parish",1,,,
"Virginia","Accomack County",,15,1,
"Virginia","Alexandria city",130,216,12,19
"Virginia","Alleghany County",2,,,
"Virginia","Appomattox County",,6,,
"Virginia","Bedford County",,,,1
"Virginia","Bristol city",4,7,,
"Virginia","Buena Vista city",2,,,
"Virginia","Campbell County",1,,,
"Virginia","Charlottesville city",45,84,9,15
"Virginia","Chesapeake city",11,57,2,7
"Virginia","Clarke County",2,,1,
"Virginia","Colonial Heights city",1,11,,
"Virginia","Culpeper County",,7,,
"Virginia","Danville city",33,34,3,
"Virginia","Emporia city",1,1,,
"Virginia","Fairfax County",12,43,3,2
"Virginia","Fairfax city",46,116,7,4
"Virginia","Falls Church city",17,26,1,1
"Virginia","Fauquier County",4,5,,
"Virginia","Floyd County",1,1,,
"Virginia","Franklin County",1,4,,
"Virginia","Franklin city",,2,,
"Virginia","Fredericksburg city",20,92,8,11
"Virginia","Grayson County",3,,,
"Virginia","Halifax County",,5,,
"Virginia","Hampton city",8,6,1,1
"Virginia","Hanover County",,1,,
"Virginia","Harrisonburg city",3,5,,
"Virginia","Hopewell city",3,1,,
"Virginia","Isle of Wight County",7,1,,
"Virginia","King William County",,,,1
"Virginia","Lancaster County",,1,,
"Virginia","Lexington city",6,2,1,
"Virginia","Loudoun County",11,51,3,3
"Virginia","Louisa County",4,1,,
"Virginia","Lynchburg city",56,70,2,
"Virginia","Manassas city",10,12,1,1
"Virginia","Martinsville city",5,1,,
"Virginia","Mecklenburg County",11,25,1,
"Virginia","Montgomery County",23,19,3,1
"Virginia","Newport News city",11,31,,1
"Virginia","Norfolk city",45,51,3,4
"Virginia","Nottoway County",1,2,,
"Virginia","Orange County",4,,,1
"Virginia","Page County",,1,,
"Virginia","Petersburg city",,4,,
"Virginia","Poquoson city",2,6,,
"Virginia","Portsmouth city",15,9,,2
"Virginia","Prince Edward County",3,,,1
"Virginia","Prince William County",5,15,,
"Virginia","Radford city",2,1,,
"Virginia","Richmond city",147,331,20,32
"Virginia","Roanoke city",30,69,4,2
"Virginia","Rockingham County",,2,,
"Virginia","Russell County",1,2,,
"Virginia","Salem city",12,16,,1
"Virginia","Scott County",,1,,
"Virginia","Shenandoah County",1,4,1,
"Virginia","Staunton city",4,3,3,
"Virginia","Suffolk city",8,8,2,
"Virginia","Tazewell County",,1,,
"Virginia","Virginia Beach city",121,175,17,12
"Virginia","Warren County",,5,1,1
"Virginia","Washington County",3,,,
"Virginia","Waynesboro city",4,19,3,
"Virginia","Williamsburg city",9,25,2,1
"Virginia","Winchester city",12,25,1,3
"Virginia","Wise County",4,5,,1
"Virginia","Wythe County",2,8,,
"Idaho","Ada County",24,49,3,3
"Idaho","Bannock County",5,7,2,2
"Idaho","Blaine County",5,11,,
"Idaho","Bonner County",3,7,1,1
"Idaho","Bonneville County",27,12,1,3
"Idaho","Boundary County",,1,,
"Idaho","Canyon County",19,22,1,1
"Idaho","Cassia County",,1,,
"Idaho","Elmore County",1,3,,
"Idaho","Franklin County",2,4,,
"Idaho","Fremont County",,1,,
"Idaho","Gem County",9,,1,
"Idaho","Idaho County",,3,,1
"Idaho","Jefferson County",,2,,
"Idaho","Kootenai County",15,26,1,1
"Idaho","Latah County",6,20,,1
"Idaho","Lemhi County",1,1,,
"Idaho","Madison County",1,6,,
"Idaho","Minidoka County",2,1,,
"Idaho","Nez Perce County",8,15,,
"Idaho","Owyhee County",,1,,
"Idaho","Power County",,1,,
"Idaho","Teton County",,1,,
"Idaho","Twin Falls County",13,20,,2
"Idaho","Washington County",1,3,,
"Kentucky","Adair County",2,2,,
"Kentucky","Allen County",1,3,,
"Kentucky","Anderson County",2,7,,
"Kentucky","Ballard County",,1,,
"Kentucky","Barren County",2,3,,
"Kentucky","Bell County",10,,1,
"Kentucky","Boone County",18,19,,2
"Kentucky","Boyd County",2,9,2,
"Kentucky","Boyle County",,1,,
"Kentucky","Bracken County",,1,,
"Kentucky","Bullitt County",7,11,,
"Kentucky","Butler County",,1,,
"Kentucky","Caldwell County",1,,,
"Kentucky","Calloway County",6,14,,2
"Kentucky","Campbell County",9,20,1,
"Kentucky","Carroll County",1,1,,
"Kentucky","Carter County",,,,1
"Kentucky","Christian County",2,4,,
"Kentucky","Clark County",5,10,,
"Kentucky","Clay County",8,3,,
"Kentucky","Daviess County",11,11,5,3
"Kentucky","Edmonson County",,1,,
"Kentucky","Fleming County",,3,,
"Kentucky","Floyd County",1,,1,
"Kentucky","Franklin County",34,20,1,
"Kentucky","Grant County",,11,,
"Kentucky","Graves County",,3,,
"Kentucky","Greenup County",1,4,,
"Kentucky","Hardin County",13,21,,
"Kentucky","Harlan County",1,,,
"Kentucky","Hart County",1,,,
"Kentucky","Henderson County",4,3,1,
"Kentucky","Hopkins County",1,,,1
"Kentucky","Jefferson County",5,14,1,2
"Kentucky","Jessamine County",1,6,,
"Kentucky","Johnson County",1,4,,
"Kentucky","Kenton County",26,30,1,
"Kentucky","Knox County",,3,,
"Kentucky","Larue County",1,,1,
"Kentucky","Laurel County",2,7,1,
"Kentucky","Lawrence County",1,,,
"Kentucky","Letcher County",2,,,
"Kentucky","Lincoln County",1,,,
"Kentucky","Livingston County",,1,,
"Kentucky","Madison County",8,10,2,
"Kentucky","Marion County",1,,,
"Kentucky","Marshall County",1,,,
"Kentucky","Mason County",1,5,,
"Kentucky","McCracken County",23,28,1,
"Kentucky","Meade County",1,,,
"Kentucky","Mercer County",,1,1,1
"Kentucky","Monroe County",,1,,
"Kentucky","Montgomery County",4,,,
"Kentucky","Nelson County",7,2,,
"Kentucky","Ohio County",2,9,1,
"Kentucky","Oldham County",25,10,,
"Kentucky","Perry County",10,6,1,
"Kentucky","Pike County",2,5,1,
"Kentucky","Powell County",,1,,
"Kentucky","Pulaski County",7,6,3,
"Kentucky","Rowan County",1,4,2,
"Kentucky","Russell County",,1,,
"Kentucky","Scott County",2,4,,
"Kentucky","Shelby County",1,7,,
"Kentucky","Simpson County",,1,1,
"Kentucky","Taylor County",,1,1,
"Kentucky","Trigg County",,2,,
"Kentucky","Union County",,5,,
"Kentucky","Warren County",31,38,2,6
"Kentucky","Wayne County",,1,,
"Kentucky","Whitley County",1,4,2,
"Kentucky","Wolfe County",,1,,
"Kentucky","Woodford County",2,2,,
"Missouri","Adair County",2,12,,
"Missouri","Andrew County",1,,,
"Missouri","Audrain County",,,,3
"Missouri","Barry County",,1,,
"Missouri","Barton County",1,1,,
"Missouri","Boone County",31,59,3,1
"Missouri","Buchanan County",8,8,1,2
"Missouri","Butler County",2,11,,
"Missouri","Callaway County",3,7,,
"Missouri","Camden County",,1,1,1
"Missouri","Cape Girardeau County",4,12,,2
"Missouri","Cass County",5,11,,
"Missouri","Christian County",3,4,,
"Missouri","Clay County",12,17,2,3
"Missouri","Cole County",18,19,4,6
