"state","county","total","p_f","p_m","p_wa","p_ba","p_ia","p_aa","p_na","p_h","15-19y","20-29y","30-49y","50-69y","over 70y"
"Alabama","Autauga County",59095,0.513782891953634,0.48621710804636603,0.7520433200778408,0.21025467467636855,0.004585836365174719,0.012031474744056182,0.0011845333784584143,0.0332684660292749,0.0644555376935443,0.06406633386919366,0.06472628818004908,0.051713342922413065,0.015162027244267705
"Alabama","Baldwin County",239294,0.5134771452689997,0.4865228547310004,0.8744180798515634,0.08566449639355772,0.00800270796593312,0.011224685951173034,0.0006853494028266484,0.04841742793383871,0.059834346034585074,0.05222446028734527,0.06060745359265172,0.07041129322089146,0.017685357760746194
"Alabama","Barbour County",24964,0.46703252683864765,0.5329674731613524,0.4923890402179138,0.4786893126101586,0.0072504406345137,0.004606633552315334,0.002323345617689473,0.04959141163275116,0.05684185226726486,0.06841852267264861,0.06116808203813492,0.06056721679218074,0.019107514821342732
"Alabama","Bibb County",22477,0.4601592739244561,0.5398407260755439,0.7613115629309961,0.21559816701517107,0.005027361302664946,0.0027583752280108554,0.0012902077679405614,0.03087600658450861,0.055478934021444146,0.0734083730035147,0.07024958846821194,0.05245361925523869,0.0159718823686435
"Alabama","Blount County",59041,0.5019223929133991,0.4980776070866008,0.9550651242357007,0.01846174692163073,0.006605579173794482,0.004031097034264325,0.0012364289222743516,0.09867719042699141,0.0630070628885012,0.05977202283159161,0.06339662268593012,0.059280838739181246,0.017750376856760557
"Alabama","Bullock County",10320,0.44602713178294573,0.5539728682170543,0.27102713178294574,0.6951550387596899,0.009399224806201551,0.003003875968992248,0.007655038759689922,0.09069767441860466,0.05503875968992248,0.06802325581395349,0.06482558139534884,0.05978682170542635,0.01937984496124031
"Alabama","Butler County",18884,0.5337322601143826,0.4662677398856174,0.5176339758525736,0.45075195933065026,0.0043423003600932,0.014244863376403304,0.00042363905952128787,0.01731624655793264,0.059574242745181104,0.054172844736284684,0.05644990468121161,0.06836475323024784,0.02753653886888371
"Alabama","Calhoun County",115972,0.5163573966129755,0.4836426033870245,0.7466457420756735,0.21609526437415927,0.005371986341530714,0.008760735349912048,0.001103714689752699,0.0423809195323009,0.06692132583727106,0.06216155623771255,0.05809160831924948,0.0626013175594109,0.016728175766564345
"Alabama","Chambers County",34541,0.5206276598824585,0.4793723401175415,0.5678758576763846,0.40522856894704845,0.003879447612981674,0.009438059118149445,0.0005500709301988941,0.029211661503720218,0.054949190816710576,0.06522683188095307,0.06169479748704438,0.06557424510002606,0.020063113401464924
"Alabama","Cherokee County",24996,0.5024003840614498,0.4975996159385502,0.9268682989278284,0.04152664426308209,0.008121299407905265,0.005320851336213794,0.0002800448071691471,0.019283085293646984,0.053968634981597055,0.05496879500720115,0.06236997919667147,0.07637221955512882,0.020843334933589374
